Datetime,Value
12/28/2023 20:00:00,30.20
12/28/2023 20:00:01,30.39
12/28/2023 20:00:02,30.56
12/28/2023 20:00:03,30.71
12/28/2023 20:00:04,30.83
12/28/2023 20:00:05,30.92
12/28/2023 20:00:06,30.97
12/28/2023 20:00:08,29.26
12/28/2023 20:00:09,29.51
12/28/2023 20:00:10,29.75
12/28/2023 20:00:11,29.98
12/28/2023 20:00:12,30.20
12/28/2023 20:00:13,30.39
12/28/2023 20:00:14,30.56
12/28/2023 20:00:16,29.26
12/28/2023 20:00:17,29.51
12/28/2023 20:00:18,29.75
12/28/2023 20:00:19,29.98
12/28/2023 20:00:20,30.20
12/28/2023 20:00:21,30.39
12/28/2023 20:00:22,30.56
12/28/2023 20:00:24,29.26
12/28/2023 20:00:25,29.51
12/28/2023 20:00:26,29.75
12/28/2023 20:00:27,29.98
12/28/2023 20:00:28,30.20
12/28/2023 20:00:29,30.39
12/28/2023 20:00:30,30.56
12/28/2023 20:00:31,30.71
12/28/2023 20:00:33,29.26
12/28/2023 20:00:34,29.51
12/28/2023 20:00:35,29.75
12/28/2023 20:00:36,29.98
12/28/2023 20:00:37,30.20
12/28/2023 20:00:38,30.39
12/28/2023 20:00:39,30.56
12/28/2023 20:00:41,29.26
12/28/2023 20:00:42,29.51
12/28/2023 20:00:43,29.75
12/28/2023 20:00:44,29.98
12/28/2023 20:00:45,30.20
12/28/2023 20:00:46,30.39
12/28/2023 20:00:47,30.56
12/28/2023 20:00:48,30.71
12/28/2023 20:00:49,30.83
12/28/2023 20:00:50,30.92
12/28/2023 20:00:51,30.97
12/28/2023 20:00:53,29.26
12/28/2023 20:00:54,29.51
12/28/2023 20:00:55,29.75
12/28/2023 20:00:56,29.98
12/28/2023 20:00:57,30.20
12/28/2023 20:00:58,30.39
12/28/2023 20:00:59,30.56
12/28/2023 20:01:00,30.71
12/28/2023 20:01:01,30.83
12/28/2023 20:01:02,30.92
12/28/2023 20:01:03,30.97
12/28/2023 20:01:04,31.00
12/28/2023 20:01:06,29.26
12/28/2023 20:01:07,29.51
12/28/2023 20:01:08,29.75
12/28/2023 20:01:09,29.98
12/28/2023 20:01:10,30.20
12/28/2023 20:01:11,30.39
12/28/2023 20:01:12,30.56
12/28/2023 20:01:13,30.71
12/28/2023 20:01:14,30.83
12/28/2023 20:01:15,30.92
12/28/2023 20:01:16,30.97
12/28/2023 20:01:17,31.00
12/28/2023 20:01:18,30.99
12/28/2023 20:01:19,30.95
12/28/2023 20:01:20,30.88
12/28/2023 20:01:21,30.77
12/28/2023 20:01:23,29.26
12/28/2023 20:01:24,29.51
12/28/2023 20:01:25,29.75
12/28/2023 20:01:26,29.98
12/28/2023 20:01:27,30.20
12/28/2023 20:01:28,30.39
12/28/2023 20:01:29,30.56
12/28/2023 20:01:30,30.71
12/28/2023 20:01:31,30.83
12/28/2023 20:01:32,30.92
12/28/2023 20:01:33,30.97
12/28/2023 20:01:34,31.00
12/28/2023 20:01:35,30.99
12/28/2023 20:01:36,30.95
12/28/2023 20:01:37,30.88
12/28/2023 20:01:38,30.77
12/28/2023 20:01:39,30.64
12/28/2023 20:01:40,30.48
12/28/2023 20:01:41,30.29
12/28/2023 20:01:42,30.09
12/28/2023 20:01:43,29.87
12/28/2023 20:01:44,29.63
12/28/2023 20:01:45,29.38
12/28/2023 20:01:46,29.13
12/28/2023 20:01:47,28.87
12/28/2023 20:01:48,28.61
12/28/2023 20:01:49,28.37
12/28/2023 20:01:50,28.13
12/28/2023 20:01:51,27.91
12/28/2023 20:01:52,27.70
12/28/2023 20:01:53,27.52
12/28/2023 20:01:54,27.36
12/28/2023 20:01:55,27.23
12/28/2023 20:01:56,27.12
12/28/2023 20:01:57,27.05
12/28/2023 20:01:58,27.01
12/28/2023 20:01:59,27.00
12/28/2023 20:02:00,27.03
12/28/2023 20:02:01,27.08
12/28/2023 20:02:02,27.17
12/28/2023 20:02:03,27.29
12/28/2023 20:02:04,27.44
12/28/2023 20:02:05,27.61
12/28/2023 20:02:06,27.81
12/28/2023 20:02:07,28.02
12/28/2023 20:02:08,28.25
12/28/2023 20:02:09,28.50
12/28/2023 20:02:11,29.26
12/28/2023 20:02:12,29.51
12/28/2023 20:02:13,29.75
12/28/2023 20:02:14,29.98
12/28/2023 20:02:15,30.20
